0.087562,0.144501,-2.702478,0.299094,0.329463,-1.188961
0.027462,0.144956,-2.939729,0.289244,0.331412,-0.288943
-0.032924,0.146238,-3.054626,0.272815,0.335227,-0.719171
-0.093710,0.144541,-2.989085,0.235241,0.338803,-1.781099
-0.152676,0.144632,-3.046452,0.187223,0.340647,-2.256035
-0.216731,0.143997,-3.324359,0.143008,0.340587,-2.020542
-0.277745,0.144239,-3.279240,0.112033,0.338834,-1.319881
-0.337560,0.142817,-3.198846,0.088469,0.339167,-1.082444
-0.387581,0.141973,-2.797221,0.054225,0.339771,-1.653281
-0.434788,0.141552,-2.727297,0.019316,0.340402,-1.722194
-0.489734,0.142245,-3.216023,-0.009916,0.341004,-1.471797
-0.540241,0.142305,-3.018042,-0.036849,0.341637,-1.387587
-0.589544,0.140282,-2.906309,-0.057772,0.342965,-1.148058
-0.632559,0.138104,-2.633596,-0.070152,0.346534,-0.851660
-0.676736,0.136146,-2.745410,-0.094819,0.350030,-1.474802
-0.723689,0.135594,-2.997353,-0.119420,0.353919,-1.515445
-0.774180,0.135113,-3.224671,-0.143176,0.356475,-1.432448
-0.825524,0.133596,-3.267061,-0.169954,0.359449,-1.627786
-0.874378,0.130978,-3.139915,-0.204329,0.363042,-2.064751
-0.913348,0.126788,-2.617555,-0.236098,0.366260,-1.950452
-0.948296,0.125584,-2.601768,-0.272391,0.366939,-2.084029
-0.981600,0.125280,-2.598620,-0.294562,0.365996,-1.334725
-1.017233,0.124976,-2.748339,-0.301967,0.366300,-0.679737
-1.054909,0.123943,-2.850418,-0.297508,0.368882,-0.205510
-1.089764,0.121576,-2.681708,-0.298092,0.373039,-0.530437
-1.122847,0.119053,-2.620277,-0.301315,0.377685,-0.686875
-1.157887,0.115951,-2.722843,-0.299119,0.382642,-0.434446
-1.195339,0.109252,-2.702200,-0.296505,0.387576,-0.410142
-1.226697,0.102774,-2.445847,-0.297299,0.393506,-0.626774
-1.253211,0.095555,-2.198672,-0.302733,0.400238,-0.898863
